tiletype,tilelevel,paidrange,itemWeight,itemWeight,itemWeight,itemWeight,itemWeight,itemWeight,itemWeight,itemWeight,itemWeight,itemWeight,itemWeight,itemWeight,itemWeight,itemWeight,itemWeight,itemWeight,itemWeight,itemWeight,itemWeight,itemWeight
11,1,0^1000000,5001^5,,,5101^45,64000^45,,0^20,,,,,,,,,,,,,
11,2,0^1000000,5001^5,,,5101^45,64000^50,,0^15,,,,,,,,,,,,,
11,3,0^1000000,5001^5,,,5101^45,64000^55,,0^10,,,,,,,,,,,,,
11,4,0^1000000,5001^5,5002^1,,5102^30,64000^50,64001^9,0^5,,,,,,,,,,,,,
11,5,0^1000000,5001^5,5002^1,,5102^30,64000^45,64001^19,0^1,,,,,,,,,,,,,
11,6,0^1000000,5001^5,5002^1,,5102^30,64000^40,64001^24,0^1,,,,,,,,,,,,,
11,7,0^1000000,5001^5,5002^1,,5103^30,64000^35,64001^29,0^1,,,,,,,,,,,,,
11,8,0^1000000,5001^5,5002^1,,5103^30,64000^30,64001^34,0^1,,,,,,,,,,,,,
11,9,0^1000000,5001^5,5002^1,,5103^30,64000^25,64001^39,0^1,,,,,,,,,,,,,
11,10,0^1000000,5001^5,5002^1,,5104^30,64000^20,64001^44,0^1,,,,,,,,,,,,,
10,1,0^1000000,5001^5,,,5101^45,64100^45,,0^20,,,,,,,,,,,,,
10,2,0^1000000,5001^5,,,5101^45,64100^50,,0^15,,,,,,,,,,,,,
10,3,0^1000000,5001^5,,,5101^45,64100^55,,0^10,,,,,,,,,,,,,
10,4,0^1000000,5001^5,5002^1,,5102^30,64100^50,64101^9,0^5,,,,,,,,,,,,,
10,5,0^1000000,5001^5,5002^1,,5102^30,64100^45,64101^19,0^1,,,,,,,,,,,,,
10,6,0^1000000,5001^5,5002^1,,5102^30,64100^40,64101^24,0^1,,,,,,,,,,,,,
10,7,0^1000000,5001^5,5002^1,,5103^30,64100^35,64101^29,0^1,,,,,,,,,,,,,
10,8,0^1000000,5001^5,5002^1,,5103^30,64100^30,64101^34,0^1,,,,,,,,,,,,,
10,9,0^1000000,5001^5,5002^1,,5103^30,64100^25,64101^39,0^1,,,,,,,,,,,,,
10,10,0^1000000,5001^5,5002^1,,5104^30,64100^20,64101^44,0^1,,,,,,,,,,,,,
30,1,0^1000000,5001^5,,,5101^45,64200^45,,0^20,,,,,,,,,,,,,
30,2,0^1000000,5001^5,,,5101^45,64200^50,,0^15,,,,,,,,,,,,,
30,3,0^1000000,5001^5,,,5101^45,64200^55,,0^10,,,,,,,,,,,,,
30,4,0^1000000,5001^5,5002^1,,5102^30,64200^50,64201^9,0^5,,,,,,,,,,,,,
30,5,0^1000000,5001^5,5002^1,,5102^30,64200^45,64201^19,0^1,,,,,,,,,,,,,
30,6,0^1000000,5001^5,5002^1,,5102^30,64200^40,64201^24,0^1,,,,,,,,,,,,,
30,7,0^1000000,5001^5,5002^1,,5103^30,64200^35,64201^29,0^1,,,,,,,,,,,,,
30,8,0^1000000,5001^5,5002^1,,5103^30,64200^30,64201^34,0^1,,,,,,,,,,,,,
30,9,0^1000000,5001^5,5002^1,,5103^30,64200^25,64201^39,0^1,,,,,,,,,,,,,
30,10,0^1000000,5001^5,5002^1,,5104^30,64200^20,64201^44,0^1,,,,,,,,,,,,,
40,1,0^1000000,5001^5,,,5101^25,64300^45,,0^20,,,,,,,,,,,,,
40,2,0^1000000,5001^5,,,5101^25,64300^50,,0^15,,,,,,,,,,,,,
40,3,0^1000000,5001^5,,,5101^25,64300^55,,0^10,,,,,,,,,,,,,
40,4,0^1000000,5001^5,5002^1,,5102^12,64300^50,64301^27,0^5,,,,,,,,,,,,,
40,5,0^1000000,5001^5,5002^1,,5102^12,64300^45,64301^37,0^1,,,,,,,,,,,,,
40,6,0^1000000,5001^5,5002^1,,5102^12,64300^40,64301^42,0^1,,,,,,,,,,,,,
40,7,0^1000000,5001^5,5002^1,,5103^12,64300^35,64301^47,0^1,,,,,,,,,,,,,
40,8,0^1000000,5001^5,5002^1,,5103^12,64300^30,64301^52,0^1,,,,,,,,,,,,,
40,9,0^1000000,5001^5,5002^1,,5103^12,64300^25,64301^57,0^1,,,,,,,,,,,,,
40,10,0^1000000,5001^5,5002^1,,5104^12,64300^20,64301^62,0^1,,,,,,,,,,,,,
20,1,0^1000000,5001^5,,,5101^25,64400^45,,0^20,,,,,,,,,,,,,
20,2,0^1000000,5001^5,,,5101^25,64400^50,,0^15,,,,,,,,,,,,,
20,3,0^1000000,5001^5,,,5101^25,64400^55,,0^10,,,,,,,,,,,,,
20,4,0^1000000,5001^5,5002^1,,5102^12,64400^50,64401^27,0^5,,,,,,,,,,,,,
20,5,0^1000000,5001^5,5002^1,,5102^12,64400^45,64401^37,0^1,,,,,,,,,,,,,
20,6,0^1000000,5001^5,5002^1,,5102^12,64400^40,64401^42,0^1,,,,,,,,,,,,,
20,7,0^1000000,5001^5,5002^1,,5103^12,64400^35,64401^47,0^1,,,,,,,,,,,,,
20,8,0^1000000,5001^5,5002^1,,5103^12,64400^30,64401^52,0^1,,,,,,,,,,,,,
20,9,0^1000000,5001^5,5002^1,,5103^12,64400^25,64401^57,0^1,,,,,,,,,,,,,
20,10,0^1000000,5001^5,5002^1,,5104^12,64400^20,64401^62,0^1,,,,,,,,,,,,,
