gearid,level,mightSucc,mightFail,BaseItem,BaseItemCount,item1,num1,rate1,showRate1,item2,num2,rate2,showRate2,item3,num3,rate3,showRate3,item4,num4,rate4,showRate4
INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT,INT
1001001,1,250,25,5101,1,5001,1,7000,9100,5002,1,10000,10000,5003,1,10000,10000,5004,1,10000,10000
1001001,2,500,50,5101,2,5001,1,6000,7800,5002,1,10000,10000,5003,1,10000,10000,5004,1,10000,10000
1001001,3,750,75,5101,3,5001,1,4500,5850,5002,1,9450,10000,5003,1,10000,10000,5004,1,10000,10000
1001001,4,1000,100,5102,1,5001,1,4200,5460,5002,1,8820,10000,5003,1,10000,10000,5004,1,10000,10000
1001001,5,1250,125,5102,2,5001,1,4000,5200,5002,1,8400,10000,5003,1,10000,10000,5004,1,10000,10000
1001001,6,1500,150,5102,3,5001,1,3500,4550,5002,1,7350,9555,5003,1,10000,10000,5004,1,10000,10000
1001001,7,1750,175,5103,1,5001,1,3000,3900,5002,1,6300,8190,5003,1,10000,10000,5004,1,10000,10000
1001001,8,2000,200,5103,2,5001,1,2500,3250,5002,1,5250,6825,5003,1,10000,10000,5004,1,10000,10000
1001001,9,2250,225,5103,3,5001,1,1800,2340,5002,1,3780,4914,5003,1,8316,10000,5004,1,10000,10000
1001001,10,2500,250,5104,4,5001,1,100,130,5002,1,210,273,5003,1,462,600,5004,1,462,600
1001001,11,2750,275,5104,4,5001,1,1,1,5002,1,2,2,5003,1,4,5,5004,1,4,5
1001001,12,3000,300,5104,4,5001,1,1,1,5002,1,2,2,5003,1,4,5,5004,1,4,5
1001001,13,3250,325,5104,4,5001,1,1,1,5002,1,2,2,5003,1,4,5,5004,1,4,5
1001001,14,3500,350,5102,1,5001,1,1,1,5002,1,2,2,5003,1,4,5,5004,1,4,5
1001001,15,3750,375,5102,2,5001,1,1,1,5002,1,2,2,5003,1,4,5,5004,1,4,5
1001001,16,4000,400,5102,3,5001,1,1,1,5002,1,2,2,5003,1,4,5,5004,1,4,5
1001001,17,4250,425,5103,1,5001,1,1,1,5002,1,2,2,5003,1,4,5,5004,1,4,5
1001001,18,4500,450,5103,2,5001,1,1,1,5002,1,2,2,5003,1,4,5,5004,1,4,5
1001001,19,4750,475,5103,3,5001,1,1,1,5002,1,2,2,5003,1,4,5,5004,1,4,5
1001001,20,5000,500,5104,4,5001,1,1,1,5002,1,2,2,5003,1,4,5,5004,1,4,5
