skillid,type,subtype,color,rare,iconskill,iconlevel,icontarget,isPercent,lv1,lv2,lv3,lv4,lv5,lv6,lv7,lv8,lv9,lv10,lv11,lv12,lv13,lv14,lv15,lv16,lv17,lv18,lv19,lv20,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,val1,val2,val3,val4,val5,val6,val7,val8,val9,val10
INT,INT,STRING,STRING,INT,STRING,INT,STRING,INT,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING
10110101,1,6+11+12+15,Colorbar_red,20,Attack,1,Archers,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10210201,2,4+8+13+16,Colorbar_Green,20,Life,2,Cavalry,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10310101,3,99,Colorbar_Blue,20,TroopLimit,1,Troops,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10310201,3,99,Colorbar_Blue,20,TroopLimit,2,Troops,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10310301,3,99,Colorbar_Blue,30,TroopLimit,3,Troops,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10310401,3,99,Colorbar_Blue,50,TroopLimit,4,Troops,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10410401,4,99,Colorbar_Gray,50,Load,4,Troops,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10510401,5,99,Colorbar_Green,50,Speed,4,Troops,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20000000,0,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20210004,2,1,Colorbar_Blue,1,Life,4,Supply,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20210104,2,9,Colorbar_Blue,2,Life,4,Supply,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20210204,2,2,Colorbar_Blue,3,Life,4,Supply,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20210304,2,3,Colorbar_Blue,4,Life,4,Supply,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20210404,2,20,Colorbar_Blue,5,Life,4,Supply,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20220004,2,5,Colorbar_Blue,1,Life,4,Infantry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20220104,2,7,Colorbar_Blue,2,Life,4,Infantry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20220204,2,10,Colorbar_Blue,3,Life,4,Infantry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20220304,2,14,Colorbar_Blue,4,Life,4,Infantry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
20220404,2,17,Colorbar_Blue,5,Life,4,Infantry,1,5000,5200,5600,6050,6550,7100,7700,8350,9050,9800,10550,11300,12050,12800,13550,14300,15050,15800,16550,17300,42200,42201,42202,42203,42204,42205,42206,42207,42208,,2500,2600,2800,3050,3275,3550,3850,4175,4525,
