gearid,type,subType,skill1,skill2,skill3,skill4
INT,INT,INT,STRING,STRING,STRING,STRING
1001001,1,1,20120001:1_20120101:1_20120201:1_20120301:1_20120401:1_20130001:1_20130101:1_20130201:1_20130301:1_20130401:1_20140001:1_20140101:1_20140201:1_20140301:1_20140401:1,20000000:1,20000000:1,20000000:1
2001001,1,1,20510001:1_20510101:1_20510201:1_20510301:1_20510401:1_20520001:1_20520101:1_20520201:1_20520301:1_20520401:1_20530001:1_20530101:1_20530201:1_20530301:1_20530401:1_20540001:1_20540101:1_20540201:1_20540301:1_20540401:1,20000000:1,20000000:1,20000000:1
3001001,1,1,20360001:1,20000000:1,20000000:1,20000000:1
4001001,1,1,20210001:1_20210101:1_20210201:1_20210301:1_20210401:1_20220001:1_20220101:1_20220201:1_20220301:1_20220401:1_20230001:1_20230101:1_20230201:1_20230301:1_20230401:1_20240001:1_20240101:1_20240201:1_20240301:1_20240401:1,20000000:1,20000000:1,20000000:1
5001001,1,1,20410001:1_20410101:1_20410201:1_20410301:1_20410401:1_20420001:1_20420101:1_20420201:1_20420301:1_20420401:1_20430001:1_20430101:1_20430201:1_20430301:1_20430401:1_20440001:1_20440101:1_20440201:1_20440301:1_20440401:1,20000000:1,20000000:1,20000000:1
1001002,1,1,20120001:1_20120101:1_20120201:1_20120301:1_20120401:1_20130001:1_20130101:1_20130201:1_20130301:1_20130401:1_20140001:1_20140101:1_20140201:1_20140301:1_20140401:1_20510001:1_20510101:1_20510201:1_20510301:1_20510401:1_20520001:1_20520101:1_20520201:1_20520301:1_20520401:1_20530001:1_20530101:1_20530201:1_20530301:1_20530401:1_20540001:1_20540101:1_20540201:1_20540301:1_20540401:1,20121001:1_20121101:1_20121201:1_20121301:1_20121401:1_20121501:1_20121601:1_20121701:1_20131001:1_20131101:1_20131201:1_20131301:1_20131401:1_20131501:1_20131601:1_20131701:1_20141001:1_20141101:1_20141201:1_20141301:1_20141401:1_20141501:1_20141601:1_20141701:1_20000000:0,20000000:1,20000000:1
2001002,1,1,20510001:1_20510101:1_20510201:1_20510301:1_20510401:1_20520001:1_20520101:1_20520201:1_20520301:1_20520401:1_20530001:1_20530101:1_20530201:1_20530301:1_20530401:1_20540001:1_20540101:1_20540201:1_20540301:1_20540401:1_20510001:1_20510101:1_20510201:1_20510301:1_20510401:1_20520001:1_20520101:1_20520201:1_20520301:1_20520401:1_20530001:1_20530101:1_20530201:1_20530301:1_20530401:1_20540001:1_20540101:1_20540201:1_20540301:1_20540401:1_20120001:1_20120101:1_20120201:1_20120301:1_20120401:1_20130001:1_20130101:1_20130201:1_20130301:1_20130401:1_20140001:1_20140101:1_20140201:1_20140301:1_20140401:1,20511001:1_20511101:1_20511201:1_20511301:1_20511401:1_20511501:1_20511601:1_20511701:1_20521001:1_20521101:1_20521201:1_20521301:1_20521401:1_20521501:1_20521601:1_20521701:1_20531001:1_20531101:1_20531201:1_20531301:1_20531401:1_20531501:1_20531601:1_20531701:1_20541001:1_20541101:1_20541201:1_20541301:1_20541401:1_20541501:1_20541601:1_20541701:1_20000000:0,20000000:1,20000000:1
3001002,1,1,20360001:1_20510001:1_20510101:1_20510201:1_20510301:1_20510401:1_20520001:1_20520101:1_20520201:1_20520301:1_20520401:1_20530001:1_20530101:1_20530201:1_20530301:1_20530401:1_20540001:1_20540101:1_20540201:1_20540301:1_20540401:1_20410001:1_20410101:1_20410201:1_20410301:1_20410401:1_20420001:1_20420101:1_20420201:1_20420301:1_20420401:1_20430001:1_20430101:1_20430201:1_20430301:1_20430401:1_20440001:1_20440101:1_20440201:1_20440301:1_20440401:1,20360001:20_20360002:1_20000000:0,20000000:1,20000000:1
4001002,1,1,20210001:1_20210101:1_20210201:1_20210301:1_20210401:1_20220001:1_20220101:1_20220201:1_20220301:1_20220401:1_20230001:1_20230101:1_20230201:1_20230301:1_20230401:1_20240001:1_20240101:1_20240201:1_20240301:1_20240401:1_20410001:1_20410101:1_20410201:1_20410301:1_20410401:1_20420001:1_20420101:1_20420201:1_20420301:1_20420401:1_20430001:1_20430101:1_20430201:1_20430301:1_20430401:1_20440001:1_20440101:1_20440201:1_20440301:1_20440401:1,20211001:1_20211101:1_20211201:1_20211301:1_20211401:1_20211501:1_20211601:1_20211701:1_20221001:1_20221101:1_20221201:1_20221301:1_20221401:1_20221501:1_20221601:1_20221701:1_20231001:1_20231101:1_20231201:1_20231301:1_20231401:1_20231501:1_20231601:1_20231701:1_20241001:1_20241101:1_20241201:1_20241301:1_20241401:1_20241501:1_20241601:1_20241701:1_20000000:0,20000000:1,20000000:1
